nom,texte_combine
Atelier de l’Île,"L’Atelier de l’Île is an artist-run centre that promotes research, experimentation and production in contemporary printmaking. The Fotreigh of the island of Val-David was founded by Michel-Thomas Tremblay. A three-year stay at the Atelier 17 in Paris gave him the opportunity to work with dignitaries and to deepen the method of roll and viscosity set up by Stanley William Hayter and still coursing at the Atelier of the island and in the world. In 1975, Michel-Thomas Trembley decided to establish his workshop on the North River, where he came to be named. Faithful to the convial spirit of the 1970s, he decided to share this fine space of work and experiment with the Irish people."
ARTsPLACE,"The Annapolis Region Community Arts Council (ARCAC) is a registered non-profit, charitable, community organization dedicated to encouraging and promoting the arts. Located in the beautiful Annapolis Valley, Nova Scotia; a place that artists seem to be naturally drawn to, ARCAC was founded by a group of artists in 1982. They began meeting in Annapolis Royal to explore ways of sharing their work and ideas with one another and with the community at large. They felt that if art was to survive as living cultural force, artists should take the first step toward demystifying the practice of art.ARCAC has developed a province-wide and national reputation for being able to generate interesting activities and opportunities within the community. Our membership currently comprises over 200 individuals and families who believe that involvement in the arts makes life both rewarding and fun. We run a year round schedule of workshops, classes, concerts,""coffee house"" evenings, readings, slide shows, talks and special events. Through our Scholarship Fund, we assist students of all ages who wish to pursue art-related courses of study.ARTsPLACE Artist-run Centre is run by an Exhibitions Committee of the ARCAC Board, comprised 100% of artists, to support and encourage serious artistic endeavours at all levels and of all sorts. Our exhibition schedule has been designed to reflect the role ARCAC plays as intermediary between the contemporary art world out there and the local community. ARTsPLACE is funded in-part by the Canada Council for the Arts, the Province of Nova Scotia and fundraising endeavours."
Alberta Printmakers (A/P),"Alberta Printmakers (A/P) is a non-profit, artist-run centre founded in 1989 in Calgary, Alberta. The organization’s goals are to increase public awareness of print media, to engage a diverse audience and to provide resources for the artistic community and production facilities for printmaking._x000D_ A/P has an open membership and is governed by a board of directors. Management and administration of A/P’s activities are the responsibility of its Funding and Communications Director and its Gallery and Studio Director. A/P also hosts a summer student program, as well as a residency program."
Arnica,"Founded in 2003, Arnica Artist-Run Centre Society is a not-for-profit gallery that provides a supportive environment for emerging contemporary artists. Arnica received charitable status in 2008 and is part of a Canada-wide network of artist run centres.Arnica provides exhibition space for contemporary art that is dynamic, innovative and thoughtful. It also serves as a space for artists to research and develop new work and helps emerging artists in our city, adding to the cultural mix of Kamloops."
Artexte,"Since the opening of its new exhibition hall in 2012 in the building 2-22 at the heart of the exhibition district, Artexte has presented 14 exhibitions in connection with the documentation of the art or art printed and published, most of which have been produced through partnerships. In a spirit of artistic community, we invite artists, researchers in residence and commissioners both individual and collective to present their work in relation to the permanent collection._x000D_COLLECTIONThe collection of articles includes documentation on visual arts from 1965 to our day, with particular attention to the practices of Canada and Quebec. You will find several types of articles which are published in the form of articles, articles and articles on the basis of the articles on the subject of the articles. Architect is a library and an exhibition centre in contemporary art, with a single collection of over 27,000 publications covering various aspects of visual arts. More than 80% of the acquisitions come from gifts from the artistic community."
AKA,"AKA supports the creation and development of artist driven initiatives and emerging practices that speak to, reflect and encourage dialogue in our culturally diverse communities. This includes work in all media by local, national and international artists. Our venues consist of a street-level gallery, billboard and multi-use screening and performance event space; we also source off-site locations for site-specific projects. We are committed to acting as a centre for risk-taking and artistic self-determination produced by a diversity of voices; engaging in critical discourse and intersections with related cultural practices. The Shoestring gallery was founded in 1971 by five Saskatoon women: Dorothy Boerma, Lorna Russell, Ann Newdigate, Jo Claire, and Betty Meyers. The gallery was among the first in Saskatchewan to prioritize exhibitions representative of the province’s First Nations and Ukrainian communities. In 1982, the Shoestring Gallery was accepted as a member of the Association of National Non-profit Artists’ Centres changing its name to the A.K.A. (Also Known As) Gallery. In 1985 AKA moved to the Saskatoon Warehouse Artspace where it resided for 20 years with The Photographer’s Gallery and Video Verite, (later to become Paved Arts), Tribe Inc. and Blackflash magazine. In 2008 AKA and Paved Arts opened their doors at their current street-level location, 424 20th Street West in the historic Riversdale district. Riversdale is one of the oldest neighbourhoods in the city and maintains a charged history for many. The neighbourhood and its diverse communities are now facing rapid gentrification."
articule,"Site-specific choreography and performance (Dena Davida, 1979, Mona Hatoum, 1983) through Fluxus theatre (Geoffrey Hendricks et John Giorno, 1996-97), to travelling interventions (Bookmobile, 2001) and the VIVA! art action (2006 - ), articule supports practices associated with performance art in its broadest terms, and has made a significant contribution to the development of this discipline in the Montréal region.articule’s programming is equally marked by a desire to take art outside of the gallery walls. An agreement established with Montréal retailers has given artists the opportunity to exhibit in store fronts since the early 1980s. This practice continues today with subsequent exhibitions and events being held in apartment buildings, hospitals, retirement homes, theatres, cinemas, parks, and a Salvation Army centre, to name but a few venues._x000D_ In tandem with its exhibition programme, articule has developed different avenues of activity in response to the needs and trends of the milieu. Examples of note would be the multimedia programming of the 1990s, comprising, for example, the work of Trinh T. Minh-ha, Steve Reinke and Pipilotti Rist; Special Projects, allowing for more site-specific works (1994 onwards); the conservation projects (2000 onwards), such as Hôpital (2001) and Carolee Schneeman’s 2005 exhibition, and the in-house window projects initiated in 2007._x000D_ An enduring discursive tradition began in articule’s first decade, with the publication of Discussion (1981-1989). With important thematic conferences, publications, and workshops bringing national and international artists together, this space has continued to thrive as a centre for dialogue and knowledge sharing._x000D_ Since 1979, articule has supported a great number of young artists, offering many a first opportunity to exhibit their work in a professional environment. At the same time, the centre has given the public the opportunity to discover artists of international renown. Among such artists are Marie Chouinard (1979), François Morelli, Stephen Scholfield, (1980-81), Lisa Steele, Pierre Falardeau (1982-83), Bill Vazan, Michael Snow, Chris Burden (1983-84), Martha Rosler (1984-85), Ed Pien (1985-1986), Peter Doig (1989-1990), Robert Houle (1991-1992), Pipilotti Rist (1993-94), John Giorno (1996-97), Dena Davida, (1998-99), Julie-Andrée T. (2000-01), Evergon (2001-02), Gary Neil Kennedy (2003-04), Carolee Schneemann, (2005-06), Kelly Richardson (2007) Nelson Henricks (2008), Aleesa Cohene (2008), Greg Staats (2011) and Carl Trahan (2012). articule’s programming aims to provoke dialogue, to foster critical thinking and to promote a diversity of practices and experiences in the artistic and social realms. We are open to all disciplines, and present exhibitions and action- and research-based works. articule curates events, such as screenings and forums, to explore specific themes or artistic practices. Our flexible short-term programming, known as Special Projects, answers to the time-sensitive needs and initiatives of artists as they arise. This programming channel pays particular attention to “undisciplined” practices and projects that manifest themselves in site-specific contexts or alternative locations. articule provides critical writings, as well as a program of discussions, conferences and workshops to encourage exchanges between artists and the public. Recognizing the importance of community and knowledge-sharing, we initiate and participate in numerous collaborative projects with other artist-run centres and community organizations. Through our engaging programming, we offer a fertile space for creativity, both to our organization and a diverse public. articule was founded in 1979 and incorporated as a non-profit organization in 1980 by a group of young artists who wanted to create a place of multidisciplinary presentation focused on research and artistic experimentation. These artists have come together to rent a space on the de la Montagne Street in Montreal, and shared programming and management. articulates became part of, what was called at the time, the network of parallel galleries. The organization has subsequently moved a few times in the central neighborhoods of Montreal. Since 2006, it's been occupying a bright space in the multicultural and lively Mile End. In 2009-2010, articulates celebrated its thirtieth anniversary with a thematic programming and Event Fundraising Who's Who which brought together artists who contributed to the center during its history._x000D_"
Chiffonnier,"Association/collective of ArtistsAthelier of Personal CreationOrganization of Cultural Events: exhibitions, concerts, projections, conferences..."
Art Metropole,"Further information on the history of Art Metropole can be found in the Art Metropole Collection available online and to the public at the National Gallery of Canada Library as well as on the Archivemaintained on this site._x000D_ Art Metropole accepts submissions of artists' books, editions and multiples in any media. Please click the link and fill out the form to submit your work for consideration. Submissions are juried monthly by staff. Due to the high volume of submissions, we are only able to respond to successful applicants. If you have questions about the submissions form or process, please contactinfo@artmetropole.com. Art Metropole is a not-for-profit organisation with a focus on the production, dissemination and contextualisation of artist-initiated publication in any media, especially those formats and practices predisposed to sharing and circulation. Art Metropole was founded in 1974 by the artists' collective General Idea as an artist-run centre. Art Metropole is a not-for-profit corporation incorporated under the laws of the province of Ontario and a registered charitable organization."
Artcite Inc.,"Founded in 1982, Artcite Inc. is southwestern Ontario’s only incorporated, registered charitable, non-profit artist-run centre, founded, directed and managed by practicing professional artists in various disciplines. Dedicated exclusively to expanding the visibility of contemporary arts within our region and advancing the professional presentation, promotion and animation of contemporary art forms, Artcite maintains a balanced and diverse program of events, including: ten or more gallery and off-site exhibitions and site installations by Canadian and international artists; guest artist lectures, workshops and residencies; screenings of experimental film and video art; experimental music and audio; multi-disciplinary performances and special projects, including our annual, community-wide MayWorks Labour Arts Festival; our biennial, off-site Fahrenheit Festival of fire sculpture and performance; our Free 4 All Walls international street art mural project; our monthly Stitch ‘n’ Bitch and Artist Trading Cards sessions; and public readings by Canadian and international authors and poets._x000D_ Located in the heart of Windsor’s downtown core (and only three minutes from the greater metropolitan Detroit area), Artcite’s highly visible, partially bisected storefront gallery space is particularly well suited to solo, two-person and group exhibitions, as well as installations that make full use of the gallery space and windows, and are politically or socially engaged."
Super F-97,"Micro place of experimental and independent exhibition, real estate and nomad, created by Laura Ben Haiiba and Rémi De Chiara in a 1997 Escort Ford."
ATELIER D’ESTAMPE IMAGO,"Imago is a production centre dedicated to the development and dissemination of print and art. The Centre offers a place of research, functional workshop and programming that reflects the current trends in visual arts. In addition to offering a laboratory of creation and experimentation through its residency program, its conferences of artists, its exhibitions and its projects of interdisciplinary creation, Imago encourages and supports the possibilities of print. The mandate of Atelier is to facilitate, promoted and distributed creation of prints and prints in prints and prints."
Atelier Presse Papier,"Presse Papier is an artist-run centre dedicated to contemporary printmaking. Located in Trois-Rivières, near the St. Lawrence River, the studio offers professional artists a production context conducive to research, creation and dissemination. Recognized for its openness, professionalism and the quality of its members’ production, Presse Papier facilitates the development of major projects by artists from here and abroad."
ARTSPACE,"- To advocate for the rights of artists.- To encourage critical investigations by enabling exploration in curation, exhibition and performance.- To develop engaging public forums such as lectures, panel and symposium presentations; workshops; broadcasts; publications; off-site exhibitions; and virtual projects.- To foster dialogue between contemporary artists from diverse cultural/political perspectives.- To serve as a versatile resource facility. ARTSPACE (est. 1974) is Peterborough’s artist-run centre, a non-profit organization committed to the presentation of contemporary art and the support of artists. We change in response to the needs of artists, and work to engage and develop audiences. Our programming, though national in scope, is regional in spirit. By connecting artists to the community and welcoming a broad range of involvement, we continue to attract respected talent from across the country—talent we are proud to compensate with fees that often exceed recommended CARFAC rates. Founded in 1974 by a group of dedicated local artists, Artspace differs from many of the artist-run centres that formed in this early period. Artspace was established and sustained by a membership spread amongst smaller urban centres, rural areas and townships as part of a unique cultural milieu within the region. The organization received its non-profit, incorporated, charitable status in July 1977. Since it’s founding, Artspace has played a profound role in the development of contemporary Canadian art, creating a space for numerous prominent artists to present their work for the first time._x000D_ In July 2004 the Artspace gallery site was destroyed and its archives badly damaged by a major flood in downtown Peterborough. In September 2006 following several temporary relocations Artspace resettled at its current location at 378 Aylmer Street. With an expanse of floor to ceiling windows the centre maintains a prominent street-front presence in the busy downtown core of Peterborough, where. With additional presentation and workshop spaces the centre’s current location allows for the installation of larger, more ambitious installations of contemporary art, while also providing regional artists with adequate professional workspaces._x000D_ In November 2014 the centre celebrated its 40th anniversary and marked the occasion with an interactive exhibition, publication, and public celebration titled “I Will Not Grow Old In Peterborough.” In 2016, after ten years at our current site, and after a history of regular relocation, the Artspace negotiated a new, long-term lease that will afford the centre locational stability through 2026."
Artspeak,"Artspeak was founded in 1986 by curator Cate Rimmer, artist Keith Higgins and writer Jeff Derksen. Our early association with the Kootenay School of Writing served to situate Artspeak within a unique interdisciplinary community of visual artists, writers and critics. Artspeak is operated by artists from the visual and language arts who share concerns in relation to the theory and practice of contemporary art. The mandate of the gallery is to exhibit contemporary art and to encourage a dialogue between visual art and writing. Of particular interest is work that crosses the boundaries between the two disciplines, exploring their common areas of praxis—a distinct aspect of the history of cultural practice in this region._x000D_ Artspeak has played a significant role in addressing the historical, social and intellectual conditions of contemporary visual and language arts production from the West Coast. We aim to support the practices of emerging and established artists and writers from this region and beyond by providing opportunities to exhibit, publish and present new work to enthusiastic audiences. Artspeak actively contributes to cultural communities through our commitment to artists producing challenging, innovative work in diverse media, our affiliation with like-minded organizations and the public interest we generate in contemporary art."
Atelier Circulaire,"Fondé en 1982, l’Atelier Circulaire est un centre d’artistes voué à la création, à la recherche, à la production et à la diffusion en arts imprimés. L’Atelier Circulaire soutient le travail des artistes en estampe contemporaine en encourageant l’emploi des techniques traditionnelles et des nouvelles technologies.Atelier Circulaire, founded in 1982, is an artist-run centre devoted to creation, research, dissemination and education with a focus on print media. Its mandate is to preserve and teach traditional printmaking techniques, while integrating new technologies and contemporary print practices._x000D_ Atelier Circulaire’s programs and services are geared to both professional artists and the general public. It provides a workspace and specialized equipment for intaglio, lithography, engraving and digital printing. The centre welcomes artists-in-residence, organizes gallery exhibitions and conferences, and offers demonstrations, specialized courses and training in printmaking."
Atelier Silex,"The Ateleri Silex, a non-profit organization, was born in 1983 of the desire to group young sculptor artists on stone and on freshly graduated wood from the University of Quebec in Trois-Rivières. With its members and their artistic practice, the Ateleri Silex is gradually equipped with stone production equipment, wood, metal, and glass and becomes the owner of its premises in 1987.In the 1990s, the team of an exhibition hall, the Espace 0...3/4, which allows him to accept activities that promote research and production."
IF,"The premises include four workshops occupied by young designers, architects, serigraphs and plastics. They also have an exhibition room and a hall dedicated to the reception of various events (mediums, concerts, projections, conferences...) for a total of 80 people.IF also has an independent studio and three guest rooms dedicated to the point-to-house of artists. A wide range allows delivery, retirement and storage (time) of materials, equipment, large-scale installations. IF looks like these new collective spaces that are the three-rooms – hybrid spaces between their ""house"" and their ""work rooms"" and their social rooms. Located in an ancient fraternity, in the historic centre of the cathedral of Limoges, IF, the Irresistible fraternity is a place dedicated to the young creation, contemporary art and design in Limoges in May 2016. It welcomes a collection of young designers and plastics, members of the association .748 who provide the artistic direction of the place, as well as the study of creation Yocto. IF develops its own cultural programming that prioritises the creation of the young person and the link. Designed as an area of life and passage, IF approaches the creation as a way of living the world, more complex, and with its matery of hair on it."
GOSWELL ROAD,"GOSWELL ROAD was set-up on the 29th November 2016 by artist duo Ruiz Stephinson (www.ruizstephinson.com) in their atelier. Every six weeks they clear the atelier completely and invite an artist, offering them an exhibition and a publication. They also curate a bouquet of flowers in the entrance, in tandem with the practice of the artist."
apes&castles,"apes&castles is an exhibition space located on the streets of Autonomy 29, in Anderlecht (Brussels), managed by two artists.Opened in October 2014, four exhibitions are organised annually.apes&castles diversify its programming in both the exhibition formats proposed by the team, and in the spectrum of the practices it is dealing with.The team will be encouraged to work with external personalities (artists, independent commissions, project spaces, art critics...), making appes&castles a new flexible and moving reflection."
Grande Surface,"Large Surface is an exhibition space created by ten artists, based in Brussels, at 188th Street Theodore Verhaegen.Grande Surface is a multidisciplinary and multiform project, a year of collaboration and experimentation."
La Civette,Exposures and associated coffee
Mutatio,"Mutatio is a modern art exhibit space located in Nantes in 2017. It is located in the heart of the Delrue exhibits, where it develops into the ancient fresco of artists dedicated to the disappearance. Moved by Jean-Baptiste Janisset, this artist-run space is a private initiative. The provision of a part of a workshop is designed to accompany artists emerging in the form of invitations. These white-cards are subject to reappropriation and experimentation in which the role of the dialogue is central. A cross-section of the works of the artist is found between the two-pieces of the artist's body."
ERRATUM,"Over the course of 2012 and 2013, three artists, James Verhille, Fiona Valentine Thomann, Damien Sayer assembled in Berlin, developing a plan to create a gallery artists-run-space where artists could be represented by artists. The format that emerged: group exhibitions of handpicked artists from Berlin and around the world, working together and alongside one another to create unique landscapes of art. Each exhibition is curated by one or the three of Erratum’s founders, who often works in conjunction with one or all of the artists to contribute to the art. These curators are often active participants in the exhibitions they nurture, readily contributing their skill and inspiration to the task at hand. Over the pasts months, Erratum is expanding through a new field of curations, and had opened its doors to shows of artists and curators : Conor O’Rourke & Fiona Valentine ThomannIn 2016, Erratum has created an anagramme label named Maturre, that its main focus is sound experimentation and techno music in the contemporary art field.In July 2017 Erratum was taken over by Dean Annunziata, Franck Rausch, Raphaël-Bachir Osman and Linda Franken. The new team carries on the tradition of the space by creating exhibitions in collaborations with a variety of artists without any restrictions in medium or thematics."
3 137,"3 137 is an artist run space in Athens founded by three greek artists. The space is used as a studio and opens its gates 3 to 4 times per year to organize exhibitions as also events such as artist talks, presentations and performances. 3 137 is a meeting point for creation and collaboration. An independent initiative that promotes artistic practices and supports experimental ways of art production, curatorship and presentation."
e/lAboRaTory,"e/lAboRaTory is a contemporary art development laboratory. Non-profit organization, e/lAboRaTory is dedicated to the experimentation and incubation of contemporary artistic initiatives. Started in 2017 by Séverine Assouline, e/laborantine, plastic artist and psychanalyst, the association aims at the deployment of multidisciplinary projects of individual and collective nature.e/lAboRaTory is considered a tool of reflection on contemporary art, dialogue and entry among its protagonists.The laboratory collects artists, professionals of art, researchers and public, and asks about the issues of permanent art."
MAISON PIEUVRE,"Home Pieuvre is a non-profit area of exhibition that is transferred to a range of projects and opportunities offered by potential partnerships. It has been managed since 2007 by the association NON MERCI, chaired by Antoine Palmier-Reynaud, House Pieuvre groupes artists, critics and commissions of exhibitions.By setting up social-cultural projects and activities, it is at the origin of several exhibitions, in France and abroad, including: ""Transfusao"" or ""dursity"" In partnership with the French Institute of Portugal and the collection of Epiderme artists, 2011- ""Fais gaffe of the books"" in St. Paul's Heaven's Heaven's Day, ""The New Year's Day's Day"""
Paradise,"Paradise is the only place in Nantes dedicated to the residences of national and international artists. It consists of two apartments, a workshop, an exhibition place and an inner court. It is a unique and unique place in Nantes. It is the fruit of an adventure and passions between two architects Agnès Lambot and Philippe Barré architects and artists of Paradise and two plastic artists Beatrice Dasher and Michel Gerson. Paradise is the provision of resident artists: a research tour, an apartment, a workshop and a exhibition site of 100 m2. It is a unique place in Nantes. It is the fruit of an adventure and passion between two architects, Agnès Lambot and Philipe Barré and architectural architects and architectural mechanics of Paradise and two museums. It is a place to find a place of research, a place of research, experimentation and exhibitions, and exhibitions of 6 exhibitions and exhibitions."
BIKINI,"The bikini project has several lines: a place of exhibition (small, very small), one at two works (monokini or bikini), a critical or literary text. The exhibition is presented to the public during a reading, then on you. but bikini a penguin on the street, and can also turn into wine. The logistic of bikini is – in the image of its space – very small, but relatively proportionate to the motivation of its four founding members: Mary bassano, real name, simony federation and Hugo pernet.--to put it in a noshall, the project of bikini is: an exhibition space (small, very small) one or two articles on the street, one or two articles (moni or bikini) on the"
in.plano,"The In.plano, Association of Law 1901, is a research and production platform that has been commissioned to disseminate and value contemporary creation on a principle of mutual knowledge and equipment. Founded in 2017, the association has called for a rich and varied programming, in collaboration with Commissioners, critics, and invited artists (exhibitors, conferences, seminars, workshops, concerts, etc.)The collection is composed of 12 young artists in multidisciplinary practices, Alexis Chrun, Nikolay Georgiev, Tania Gheerbrant, Philemon Hervé, Sarah Nefisssa Belhadajalja, Lucie Planty, Caroline Rambault and Takamoud, Nastarium."
Poteaux d'angle,"A space dedicated to contemporary artistic practices in the center of Burgess. A free programming space, based on the more or less successful meeting with works and artists...the everything that is visible from the street at any time, there is no tension. As the only manager of this place I consider to be a resurgent of my workshop, I think of it as an artistic project with the many evolutions of a creation...the place has continued to evolve since its creation, fortification and generation...Alaiin Sadania, founder of English Poteaus and the parallel site @poteauxandale"
COHERENT,"COHERENT is committed to promoting the young emerging artists of contemporary art. Tommy Lecot, Ubay Martin, François Patue and Maxime Souvant, Brazilian artists and residents, met in June 2016 and decided to create a place dedicated to contemporary art. Within the space, they play the role of curator."
Studio Delta,"The studio Delta is located at the 158th Street Pierre de Roubaix in an old city centre textile factory, in the continuation of the United Nations Avenue, two streets of the Crossed Space, a video art centre; but also the different cultural actors of the Pile district gathered around the Collective Part._x000D_The building of 1930, it is industrial construction in concrete and brick of the north. Its roofs offers light spaces supported by a metal structure in Eiffel. It is built on two levels, a chassis and a first floor, it has a roof. In the backyard, 5 workshops of artists on a wall on a wall on a wall and a wall on a wall on a wall on a wall on a wall."
KABINET,"KABINET is a place of art, alternative and independent meetings. Founded in 2013, the space aims to discover and deal with multiple artistic practices. One of the main pools is the installation of events entitled ""KABINET(s)"" programmed about four times a year.Each ""KABINET"" is initiated by one of its members. These events aim to reveal and relate to artists who are mainly practicing in Brussels: KABINET URBIN, KABINET OF DESSIN, KABINET OF LIVRE, KABINET PHOTO."
C5,"C5 is a space for visual arts who takes inspiration from “The Holy Theatre”, second chapter of Peter Brooks’s controversial theory “The Empty Space”. The author explains that he could have substituted the name Holy Theatre with The Theatre of the Invisible-Made-Visible. It’s all there. This space probes possibilities and tentatives which seem able to reveal something out-of-the-ordinary to the viewer. It offers an experience that overflows from the ordinary. Let’s imagine this to be somewhere that can replace the sites of sacred rituals long since forgotten, somewhere to live out transcendental experiences. Something invisible – something unsayable – must occur here. C5 intends to grant its audience experiences which tear them away from the everyday, all the while placing their feet firmly on the ground. Perceive what is sacred, yet remain anchored. That is the only way for the sacred to remain what it is in essence: never wholly uncovered. This is a slither of light creeping in through a door left ajar."
