nom,texte,multi_topics,multi_topics_no_threshold
AU LIEU - éditions extensibles,"Collections / Publications :-On page, abandoned.Recommended for each volume a selection of narrative texts produced by plastic artists and writers, this collection is today the beginning of the federal will of extensible editions. A collective exhibition follows each volume for a few months in order to observe the influence of the author's plastic research.- Fictional objectsThe collection ""fictional object"" is a support for printing. Printed ©Object Fictional, all text or object is considered to be included in a special narrative. According to the nature of the text or object, this narrative is more or less easily published for publication. The Extensive Editions, led by Sébastien Souchon and Adrien van Melle, are designed to search for the transparency between contemporary art and literature.Supporting artists, this publishing house is in itself an artistic project. It is for the two artists who serve as directors, the material essential to their experiences. In the course of the collections, the publishing house opens on new needs, enduring the first ones and contributing in total to the appreciation of the writing, narrative and fiction in the contemporary art.",[3],"[2, 3]"
La salle de bain,"The activities of La bathroom are based on the production of works, exhibitions, editions of national and international contemporary artists of different generations, and events related in a cross-cutting way to the annual programming of the site.The bathroom ensures access and accompanying this programming to various types of public types from its site.The work is in the development of networks and design of projects.In 2008, the structure moved from 56 of the Saint-Jean street, located in the historic center of Lyon (5th rounding), to 27 of the Burdeau Street (1rd rounding) on the streets of the Cross-Rause. The bathroom is an association of law 1901 founded by Gwenaël Morin, Lionel Mazelaygue and Olivier Vadrot in 1998 in Lyon. In 2008, the structure moved from 56th Street Saint-Jean, located in the historical centre of Lyon (5th art) to 27, Burdeau Street (1rd art) on the slopes of the Croix-Russe. In 2016, the bathroom is moved to 1st Street Louis Vitte in the 1st round of Lyon. The space is offered as a place of convergence and reexploitation outside the exhibition.The artistic direction was subsequently entrusted to the following people (all took care of this function): 1999-2001: Olivier Vazier Vadret, and Arunjel, and Arun-Twiel 20thau, and Arun.",[2],"[0, 2, 4, 5]"
Atelier von Michael Diller,"In the early 1980s, graphicist Michael Diller was able to move into an apartment located at the last floor of the building Pappeallee 85. The centre of the rooms was an old studio of photography located in the north, partly won.Article: http://www.bpb.de/55806/atallier-michael-diller",[2],[6]
New Media Society,"- Research and study room facilities such as Wi-Fi connected library and workshop space on Media arts, international books, catalogs and artists’ journals- Media Art Archive combining/reorganizing few existing archives in Iran and standardizing the archiving method and making it available as an online index and as offline library on our computers/viewing stations- Online Portal for New Media Studies in Iran will be a hub for artists, scholars, Writers, Translators and Knowledge producers to connect and share ideas, publishing entries, calls and reviews from various domestic and international projects. Events and Activities: - public presentations Talks, mini exhibitions and workshops on Preservation, practice and theory)- Seminars with international Guests on various New media related topics (Video art, art & technology and sound and interactive) approximate reach 80-100 People including local professionals and international guests- Curatorial platform/Archive of local and international New Media Art Rotating Weekly screening program- Designing/launching a bilingual online platform for New media Studies and making its archive index available online.- Producing catalogs and readers with each seminar and blog entries mapping activities in Tehran and other emerging scene across Iran. And creating narrative for a possible introduction to New Media Art in Iran. New media society is a project space,archive and Library dedicated to New Media Arts. NMS acting as a hub and mediator for several emerging project spaces across the country, by archiving and facilitating projects related to new media arts, by organizing talks and workshops, publications and events such as presentation, symposiums and exhibitions. Publishing and knowledge production as well as archiving and preservation and public outreach will its key tasks to provide a most needed platform for ever growing scene of new media in Iran. Description of the Project (what, who, when and where. ) New Media Society is a platform for researching and promoting new media arts in Iran. NMS’s approach will be as inclusive as possible to maximize outreach and to include and initiate cooperation with existing infrastructures and resources within the country and the network of artists and professionals in diaspora. NMS is designed to create an open source archive of New Media as well as a study room/ meeting place for artists, researchers and scholars, and aims to bridge the gap between new media artists and their potential enthusiastic audience. NMS wishes to promote interdisciplinarity and create a context for practices that take place at the intersections between art, science and technology, geared toward video art, sound art, and new media. The society will be acting as a hub and mediator for several emerging project spaces across the country as well as the international scene, by archiving and facilitating projects related to new media arts, and by organizing talks and workshops, publications and events such as presentations, screening, symposiums and exhibitions. Public outreach, knowledge production as well as archiving and preservation will be the society’s key tasks to provide a much needed platform for the ever growing scene of new media in Iran. Another goal of the society is to reverse the one way stream of art and knowledge production leaving Iran and taking residence outside of the county. NMS aims to encourage artists/researchers aboard to share their experiences and expertise with students and artists back home. Despite the absence of academic opportunities inside the country, there is an emerging scene of young artists who are experimenting with new media. One the other hand, because of the same lack of educational infrastructure, there is an increasing number of artists and specialists who move to other (mostly western) countries,for studying, and then in many cases for living. In such circumstances one realizes that there should be a platform that can incorporate the intellectual resources from Iranian artists and professionals from all around the world We wish to ask for help/support for design and promotion, building audience and the online / offline hub for new media society public artistic and education programs. To invite a team of experts to design the structure and guidelines for the archive, and articulate their finding and through the online bilingual portal. While our project room will be a multi-purpose venue for producing cultural outputs, social awareness and public engagements whining the society, our rotating screening programs and workshops in collaboration with local initiatives will be helping artists and audience outside of center to engage and participate in their cities without the need of coming to Tehran. As aside project we would like to invite international artist and thinkers as temporary residents and workshop instructors to elevate the scene and the quality of the programs.",[0],"[1, 2, 3, 4, 5, 6]"
A4 Sounds,"A4’s mission is to transform the means by which cultural works are produced, accessed, and understood in Ireland, and by doing so to contribute to the development of a more just society. We want to Make Art That Matters.Our workspace is an extension of this work, intended as a participative socially engaged arts and education centre in Dublin. Drawing on the best elements from existing artist studios, maker spaces, social spaces and education practices both nationally and internationally, we are developing a unique model which both supports practitioners’ professional development and effects real social change in response to our needs as citizens and communities, and how we access and participate in arts and education.","[0, 4]",[1]
A-B Projects,"A-B Projects is a space for the exhibition of work by artists who are expanding and redefining the field of ceramics. This non-commercial gallery allows artists to push their practices forward by taking personal risks and daring to exhibit seemingly infeasible work. The ancillary mission of A-B Projects is to use clay as a conduit to connect and support community.Nicole Seisler founded A-B Projects in 2015 in conjunction with her position as Lincoln Visiting Professor of Ceramics at Scripps College in Claremont, CA. In 2018, Nicole relocated the gallery to the Bendix Building in downtown Los Angeles.",[1],[6]
Easttopics,"Easttopics is a non-profit initiative launched in 2013, led by young art professionals based in Hungary and Serbia and dedicated to the promotion of the Eastern European contemporary art field. Working as a think tank for the Eastern European art communities, Easttopics is a genuinely interdisciplinary cooperative which goal is to draw the Eastern contemporary art field and the international art scene closer to each other. This cross-border project takes form as an expanding on-line website and database focusing on the following countries: Albania, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Estonia, Greece, Hungary, Kosovo, Latvia, Lithuania, Macedonia, Moldova, Montenegro, Poland, Romania, Serbia, Slovakia, Slovenia and Ukraine.",[],"[0, 2, 5]"
LA><ART,"RESPONDING TO LOS ANGELES’ EVER-SHIFTING CULTURAL CLIMATE, LAXART QUESTIONS TRADITIONAL CONTEXTS FOR THE EXHIBITION OF CONTEMPORARY ART, ARCHITECTURE, AND DESIGN.WITH A RENEWED VISION FOR THE POTENTIAL OF INDEPENDENT ART SPACES, LAXART IS A CENTER FOR INTERDISCIPLINARY IDEAS BUILT THROUGH PROVOCATION, DIALOGUE, AND ENGAGEMENT.LAXART OFFERS A SPACE FOR THE PRODUCTION AND DISPLAY OF EXPLORATORY WORK, SUPPORTING ARTISTIC PRACTICE AND CURATORIAL FREEDOM IN LOS ANGELES AND ABROAD.LAXART IS A HUB FOR ARTISTS AND CURATORS BASED ON FLEXIBILITY AND OBLIGATED TO ACCESSIBILITY. IT ADDRESSES THE URGENCY IN CONTEMPORARY CULTURE WHILE ADVOCATING FOR TRANSITION, SPONTANEITY, AND CHANGE. LA><ART is an independent nonprofit art space presenting experimental exhibitions and public art initiatives, offering the public access to a new generation of artists and curators, supporting both risk and dialogue, producing new work for new audiences, inciting the conversation on contemporary art in LA, animating dynamic relationships between art, artists and audiences, enhancing the cultural landscape of LA by supporting challenging work and reflecting the diversity of the city.",[4],"[0, 4]"
6b,"Since its opening in 2010, 6b has devoted all its energy to proposing a culture of everyone's culture, in a dynamic city-wide St. Denis.Installed in an old industrial building of 7000 m2 in the heart of Newity in Saint-Denis, the Association The 6b is a place of work, culture and self-contained exchanges, open since 2010. It has been available to professionals of the arts, 170 private workshops at affordable prices, as well as interconnected areas of creation, entertainment, music, music, music, music, music, music, music, music, music.",[],"[2, 6]"
Apparatus Projects,"Apparatus Projects is an artist-run curatorial and publishing project in founded out of a Lincoln Square dining room in Chicago, Illinois. Situated between the institutional and domestic, our mission is to develop a critical framework that both raises the level of discourse around emerging contemporary artists while developing a pedagogy that is accessible and comfortable for a wider public to partake in the discussion. Apparatus focuses primarily on developing conversational two-person exhibitions that seek to develop deeper critical engagements between artists and their work with each exhibition is accompanied with a curator’s essay geared towards producing critical writing and research about the artists and the work on view.",[0],"[1, 4]"
DAS ESSZIMMER,DAS ESSZIMMER ( the dining room) is an artist-run-space intended to differ from mainly commercial galleries. It was founded in October 2011 by Swiss artist Sibylle Feucht. In favour of a broad array of artistic positions the gallery programme explicitely renounces a particular conceptual focus. DAS ESSZIMMER is mainly presenting solo shows.DAS ESSZIMMER consists of two showrooms connected by an urban patio. A 35m²space – previously the inner court´s entrance – is situated towards Mechenstraße offering a 24-hours view. Another 50 m² space is situated in a former print shop now designed as a part of the owner´s studio.,"[0, 2]",[]
Rectangle,"Attention, structure fonctionnant sur projets itinérants depuis 2017 !! Depuis sa création, Rectangle s’intéresse à l’utilisation de l’image et de son dispositif dans des espaces à la fois privés ou publics. Dialoguant avec artistes, curateurs, artist-run spaces, écoles d’art, galeries et collectionneurs, Rectangle souhaite dynamiser les collaborations sur différents territoires.Rectangle est une association sans but lucratif dont la direction artistique est assurée par : Amandine Faugère, Aline Melaet, Pierre-Pol Lecouturier et Xavier Pauwels.Fondateurs: Cedric Alby (2012 – 2015), Jeremie Boyard (2012 – 2017), Pierre-Pol Lecouturier et Xavier Pauwels.[EN]Since its creation, Rectangle is interested by the image’s utilization and its device in both private and public spaces. Interacting with artists, curators, artist-run spaces, art schools, galleries and collectors, Rectangle wants to stimulate collaborations on different territories.The artistic direction is covered by :Amandine Faugère, Aline Melaet, Pierre-Pol Lecouturier and Xavier Pauwels.Fonders: Cedric Alby (2012 – 2015), Jeremie Boyard (2012 – 2017), Pierre-Pol Lecouturier and Xavier Pauwels.[NL]Sinds haar creatie is Rectangle geïnteresseerd in de toepassing van het beeld en de installatie van deze zowel in privé, als in publieke ruimtes. Door de interactie tussen kunstenaars, curatoren, kunstenaarsinitiatieven, galerieën en verzamelaars, wil Rectangle de samenwerkingen op verschillende gebieden stimuleren.De artistieke leiding wordt beheerd door :Amandine Faugère, Aline Melaet, Pierre-Pol Lecouturier, Xavier Pauwels.Oprichters: Cedric Alby (2012 – 2015), Jeremie Boyard (2012 – 2017), Pierre-Pol Lecouturier en Xavier Pauwels.",[3],[2]
Sunset RS,"Created in July 2017, Sunset Rs is a space-run artist founded by Christophe Gaudard and Hugo Schüwer-Boss. It is also an exhibition of contemporary art and graphic design, the Hugo Schüwer-Boss painting workshop, as well as a publishing house. Sunset aims to present contemporary creation at free events and open a place of reflection. The site organises exhibitions and events that spread the work of artists or graphics and thus share their thoughts. Sunset also deals around regular exchanges and collaborations with students of Hugo Schüwer-Boss, as well as a publishing house. Sunset aims to present contemporary creation at free events and open a place of reflection. Sunset organizes exhibitions exhibitions and events, and shares their reflections. Sunset is also about regular exchanges and collaborations with students from the Institute of Beaux-Büwer-Boscheinschets in Beançion, Non-Artsche de Besaçion, Nonsche de Besche de Beançon",[0],[3]
LE CUBE – INDEPENDENT ART ROOM,"The Cube – independent art room is designed as an area of exhibition, residence and research focused on contemporary artistic practices. Its purpose is to discuss projects that raise social, cultural and political issues, and encourage proposals that question Histoire and the Rectures.In this dynamic setting, the Cube understands and develops a wide range of exhibits that relate to other aspects of the research, to bring about a reflection on the environment, to reflect on the origins of the universe. The Cube defends a range of thoughts and views of the artists and audiences.In this context, the Cube is designed and develops a wide range of exhibits that are related to other dimensions of the research, so that they can reflect on the complexities of our environment. Its analysis and experiments, The Cuba defends a range of ideas where the thoughts and perspectives of the artists are presented. Since its creation in 2005 by Elizabeth Piskernik, Cuba has presented more than 90 exhibitions and events, collaborated with more than 100 national and international artists, and organized many educational and socio-art activities.",[0],"[3, 4, 5]"
La Source du Lion,"The Lion Source Atelier is a platform for research, experimentation, production and artistic exchanges.","[2, 3]",[4]
MALA FAMA,"MALA FAMA estudios is a meeting point of new and independent ways of making art from different approaches, joining the creativity process and the communication. It is a project originally designed as a home for studios, but not only. We want Mala Fama to be something else, a space for sharing experiences among all the different cultural agents with the aim to broader the sense of creation, exhibition and promotion the vibrant art scene developing nowadays from Madrid. Our goal is to offer a singular, participative and functional space that favors the communication between artists, curators, gallerists, collectors, art critics, and of course society. The main focus of the studio is to offer a new space that favors this communication and the realization of events related to the creation and artistic innovation from a participative and functional bet.",[4],[3]
current space,"Current Space is an artist-run gallery, studio, and outdoor performance space, nourishing an ongoing dialogue between artists, activists, performers, designers, curators, and thinkers. Operating since November 2004, we are committed to showcasing, developing, and broadening the reach of artists locally and internationally.",[1],[3]
YARAT Contemporary Art Space,"YARAT is a not-for-profit organisation dedicated to nurturing an understanding of contemporary art and creating a hub for artistic practice, research and thinking in the Caucasus, Central Asia and the surrounding region. Based in Baku, Azerbaijan, YARAT (meaning Create in Azerbaijani) was founded by Aida Mahmudova in 2011. YARAT realises its mission through an on-going program of exhibitions, education events and festivals. YARAT facilitates exchange between local and international artistic networks including foundations, galleries and museums.",[4],"[0, 1, 4, 5]"
Espacio P,"Espacio P is a benchmark among alternative spaces that are self-organised by artists in Madrid. Launched and directed by the multimedia artist, Pedro Garhel (Tenerife, 1952-2005), it developed collaborative dynamics of research, training and production. It also implemented the use of shared resources and means of diffusion that remained practically unexplored at that time in Spain.Its hybrid structure was the result of opening up and merging different artistic concepts and fields as well as crossing over and beyond the traditional limits of the exhibition space, the stage and the laboratory for research and production. Its aim was to explore the edges between the visual, performance and sound arts, so that different practices and languages were linked, through the sharing of a single space with multiple functions. Moreover, its programme was inclusive and socially engaging: it was a place where artists created community and art was synonymous with life and with shared experiences and knowledge.Between 1981 and 1997, Espacio P organised all kinds of activities related to performance, photography, installations, visual poetry, postal art, film, video and experimental music, as well as electronic and virtual reality art, at a time when the majority of art galleries and museums were celebrating the resurgence of painting.The remarkable trajectory of the activities of Espacio P is related to several thematic hubs: do-it-yourself culture between fluxus and punk; action art and audiovisual language; the gender question; interventions in the public space; and the transition from the analog era to digital culture. Overall, it aimed to focus attention on artistic practices which were facing up to the challenges of the globalisation of culture, of production and of the markets. In addition, those practices tackled alternatives to the impact of media power by the construction of new spaces as well as individual and collective identities in a period of transition towards the post-industrial society. Space P is one of the pioneer initiatives of artistic self-management in Spain. Located in the center of Madrid between 1981 and 1997, he set up new training and production models, and introduced methods to manage resources and collaborations that have not been explored until then in this country. Space P was one of the first Spanish alternative spaces, active between 1981 and 1997. The “P” resulted in “performance” as well as “polival” as well as “political”. Throughout its trajectory it was also presented as “Performance Alternative Space”, “Polival Space”, “Art of Present”, “Center of Audiovisual Arts”. It was an independent experimenting initiative, a non-formal learning place of extracademic arts, production and exhibition, as well as a meeting place and exchange of experiences and knowledge, from participating practices. Located in an ancient monastery called Nuñez de la Arpaza, the Sancutas de la Gâteaus, the Gâteaus de la Gâtétas de las de las de lasação de lasátétés de las de lasaciación de lasás de lasionale de las de lasionale de las de lasionale de lasionale de las de las de las de lasación.",[4],"[4, 5]"
Bell Street Project Space,Bell street project space is the curatorial project of artists Alex Lawler and Marita Fraser. From 2006 - 2010 it was an artists run inniative housed in a shop front at 22 glockengasse in the second district of Vienna. From 2011 it exists as an independant mobile project based out of London.,[],[0]
VIDEO DRAMA,"VIDEO DRAMA is Amsterdam based artist's initiative, which makes exhibitions from place to place. It focuses on composing short term art exhibitions, events, happenings adapted to chosen theme and available space. VIDEO DRAMA enables artists to share their works with the audience and shed light on valuable works (mostly in the field of visual arts). VIDEO DRAMA is traveling art platform and it's concept is to move from place to place and represent artists working in the field of moving picture and beyond.",[0],"[0, 4]"
warenlift,"Warenlift is a non-profit offspace founded in 2020 by Adrian Shär, Fabienne Ehrler & Samir Seghrouchni. Warenlift is located in Zurich Altstetten. Our programme focuses on a mixture of emerging and established artists from Switzerland and its surrounding area.",[],[1]
artellewa,"Projects and Activities: (1) Exhibitions: held in the artellewa Dokkan, a small workshop open to the street. In addition to exhibiting the work of established and emerging artists from Egypt and abroad, each year artellewa holds the first exhibition of at least one young Egyptian artist. (2) Artists-led Workshops: artellewa coordinate and offer free of cost workshops, to community members and emerging artists. Manly in the field of visual arts, and culture fields in general. (3) Artists-in-Residence: hosts foreign artists who interact with the community and environment of Ard El Lewa, research and produce artworks, show their work in the artellewa Dokkan , and build networks with the Cairo arts community. Artists have hailed from 13 countries, including Lebanon, Palestine, Sudan, Turkey, Jordan, Spain, Switzerland, Norway and the United States. (4) Other Events: including a weekly cinema series curated by a resident of Ard El Lewa, showing films with a relationship to the community. Meet-the-artist events offer the public the opportunity to hear about the work of local and international artists. (5) Special Projects: which enrich the civic and cultural life in Ard El Lewa, and use art to improve the urban environment. The space is located in Ard El Lewa, a densely populated informal area located between two of Cairo’s informal areas, Imbiba and Boulak El Dakrour. artellewa creates a space for the formation and activation of dialogue between artists and society; facilitates artists projects, offers workshops for community members and emerging artists, exhibits art and hosts artists-in-residence in addition to providing special projects to enrich the civic and cultural life in Ard El Lewa, and use art to improve the urban environment. artellewa aims to create a space for reflection during this time of transition; a space for rejuvenation of ideas and progressive thought and connect Ard El Lewa and its inhabitants with the broader culture of the city and the world through art, and creates a unique opportunity for Egyptian and foreign artists to interact and experiment with the local community and environment. artellewa creates a space for the formation and activation of dialogue between artists and society.",[0],"[1, 2, 4, 5]"
Nave Oporto,"Oporto, a baroque located in Porta Bonita, Carabanchel Down. An ancient and cultural heritage area of fame, revalued and planned to establish effective networks with the rest of the city. It is in the year two thousand passes, in the current of social change and transformation of economic and productive structures, when it is born an initiative that activates this peripheral area to comply with an active fabric, culture and expression. A ship of ancient textile activity has been converted into a workship, being able to create not only a converge and work, but also an effect of community, integrated by members of various nature and composed by the individuality of the Navara, arzes which is established in its shape.",[4],[3]
ELA projects,"έλα/Ela projects is run by the artist C.Pradal with the support of artists. έλα/Ela projects is an open space on the last floor of a residential building in Petralona area in the center of Athens. We kindly ask you to contact us for a private visit or for any information about έλα/Ela projects. We inform guests that reach the last floor, it's by a stair.",[0],[6]
Rinomina,"In 2015, in collaboration with Markus Lichti, we created an exhibition space called Rinomina (in Italian renamed, re-named). We founded this place with the objective of giving shape to our own artistic practice here in Paris, but most of all, to give other artists the opportunity to create exhibitions there. The name ‘Rinomina’ comes from the Italian expression for renaming a file on a computer. It is a transitive verb {consists of ‘re’ and ‘name’} and means to name again, to rename or to change a name ; in particular, in the IT world, assign a file or document a different title from the previous one. The fascinating possibility of literally renaming everything is one of the main inspiration for this exhibition space.Rinomina conceives its programming and curatorial practice as strongly rooted in our own artistic activity. Since its creation, this space has exhibited many artists from the contemporary French and international scene, in a heterogeneous and dynamic program, such as: Felicia Atkinson, Louise Drulhe, Raphaël Bastide, Cécile Bicler, Eric Giraudet de Boudemange, Vanessa Dziuba, Martin Chramosta, Victoire Barbot, Jean-Philippe Breitin, Noemie Vulpian, Dominique Koch, Ambra Pittoni, Thomas Geiger, Claudia de La Torre Ana Navas and many others. Rinomina tries to act coherently in a flexible, conceptual and collaborative process, aiming to maintain a divergent perspective on what an exhibition space can be.About the founderDaniela Baldelli was born 1977 in Asmara, Eritrea. She worked as a fashion designer before completing at the Academy of Fine Arts in Karlsruhe in Germany in 2009. She was recently awarded by the Centre national des art plastiques, but also Landesstipendium Baden-Wuerttemberg, Germany, Cité International des Arts, Paris and Chrisoph Merian Foundation, Switzerland. Her installations and performances has been exhibited in various galleries and institutions in Berlin, Düsseldorf, Copenhagen, Milan and Paris.Markus Lichti was born 1980 in Speyer, Germany. He graduated from his Master at the Academy of Fine Arts in Karlsruhe in Germany in 2010. His work has been exhibited internationally, selected solo and group exhibition includes: Arratia Beer, Berlin; Castillo/corrales, Paris; Couloir, Hamburg; Thomas Dane gallery, London; Été 78, Bruxelles.","[0, 3, 4]","[1, 2, 5]"
Action Art Actuel (AAA),"""Two years after the Council of Arts and Letters of Quebec rejected its main financial support, the centre was in despair.""It is sad and sad that Action Art Today announces the closure of its doors after more than 30 years of existence. Noting that the cuts of the past years in culture have created enormous stress on several bodies in Quebec. Despite the efforts of our leadership and our board of administration, the centre now has to resolve its activities in a permanent way. Action Art Current would therefore like to thank the City of Saint-Jean-sur-Richelieu, its members and the public for their support for the loss of their lives.",[3],"[1, 3]"
AARAU,"The music room - The platform for experimental electronic music has existed since 2006 and has been created among others because of one of the priorities (song art) of the exhibition program of Aarau's artistic space. The music room is a sub-label of Kunstraum Aarau and works as a complete platform. The concerts that took place during the sound art exhibitions were not declared as music halls except when foreign musicians were invited in addition to the performer, the performer. The Kunstraum Aarau association has been running an exhibition hall since 1990 to allow exhibitions of plastic arts and their border areas. It provides and supports in particular non-established views.The Kunstraum Aarau makes an important role in the cultural life of our region between the Kunstaus public and private galleries. Since it is funded by public funds and private support, it can offer to artists an important and highly appreciated area of presentation and experimentation. An opportunity is still rare in the area of exhibition. With the minimum budgets and a free work of the responsible, it is important, since the existence of the artificial space between the Kunstaus and the private galleries.As it is possible to sell it to the peoples, it is possible to sell it to the sands of the sands and the sands of the sands of the sea. In the early 1990s, a group of plastic artists from the GSMBA environment rented an area of 100 m2 in KiFF (food industry) on Telistrasse 108 in Aarau, thus participating in the construction of this regional cultural centre. The idea was to create a forum with an open concept for the events of plastics and their border areas. The emphasis must be placed on unsecured vision. The independent association Kunstraum Aarau was founded on September 3, 1990. The Aarau's artistic space was spent for 13 years on its first site in the city's periphery, with other comparable, non-commercial areas, and non-compliantary areas, and outside the institution's facilities.",[3],"[1, 2]"
Grommet Studio,"The Grommet Studio is the name of Jean Dupuy’s loft, so named for its location at 537 Broadway. Grommet means “eyelet”, an allusion to the arrangement, devised by J. Dupuy, in which the spectator was invited to discover, perched on ladders, the performances which were given on mezzanines using eyelets arranged on a large canvas reaching from floor to ceiling. He inherited that loft in 1976 from his friend George Maciunas (Fluxus theoretician), before the place became the present-day Emily Harvey Foundation. (Extrait of an interview between Eric Mangion and Jean Dupuy, published in 2008): In the lobby of the 405 East Street, your first collective exhibition, where there is nothing to sell. The works are anonymous, ephemeral and exposure lasting 10 days.",[2],[6]
QUINCONCE,"Since 2019, at Montfort's borough sur-Meu, Quinconce is a place of exhibition offering contemporary art awareness activities in the direction of all the public.After six months of existence in a smaller place, Quinconce wanted to continue its engagement by broadcasting and supporting the work of local artists, as well as by setting up partnerships.The commitment of the team to go out of the cities and create the contemporary art of the cities and create the meeting with the artists of art and culture is translated into the school environment and accompanying the local structures. Since the beginning of the year 2022, she has been working on the project at the top of the project.","[0, 3, 4]","[0, 5]"
Centro Tool,"In January 1971, Ugo Carrega founded and runs a new exhibition area: the Centro Tool, located via Borgonuovo 20 in Milan, which is responsible for the follow-up and publication of research on poetry undertaken by the Centre Suolo (1969-1970). The Centre will continue its activity until January 1972 after organizing twenty-one exhibitions and visual poetry exhibitions. In February of the same year, Ugo Carrega founded the Bollettino da inside, where it collects accounts from its work. In October, with the help of Vincenzo Ferrari, the Tool Center works for research and exhibitions. In June 1973, the Centre closes the activity with exhibitions and trovises in the world. The artist Ugo Carrega (Visual poetry) began several art spaces in Milan: Centro Suolo (1969-1970), Centro Tool (1971-1973) and Mercato del Sale (1974-1989). Milan is an artistic career in visual poetry.",[4],[4]
bologna.cc,"bologna.cc works in relation to an expanded reading practice, operating in a space in Amsterdam’s east from 2017-2020. To add an s to the front like a proposal of forward plurality - sbologna - forms slang for fools gold, or means to aggressively give away; to drop. The bcc also refers to the blind copy of emails. Largely presenting solo or duo presentation of artists, bologna.cc continues activities of an apartment run space in De Wallen, Amsterdam variously titled H.E.Olsson, Olsson's, 2 TEXACO, ICW, which ran the preceding 18 months. In 2020, bologna.cc shifts to podcast form BCCP and to a new space in the center of Amsterdam, known as BROADWAY. Bologna.cc is run by Ivan Cheng.",[0],[6]
Aparador Monteleón,"Aparador Monteleón is an independent space for contemporary art projects in Madrid. With the same spirit of his brother Aparador Cuchilla on CDMX, inspired in 2010 by Aldo Chaparro Studio, he aims to provide access to the art and reflections in art and design beyond commercial and institutional circuits, which does not depend on opening hours and serves as a place of experimentation and disclosure.",[4],[]
Paranorm,"Norbert Flüchter, Klaus Gatermann and rRalf Rossius open the paranormal gallery, in Tiergarten Berlin with the exhibition ""MARQUE "" Pyromanian of Cain Karawahn. Simultaneous introduction of video documentariesThe year 1987 opens a joint project with the exhibition Count (in Artcore Gallery) new space with which it is composed to double the projects of artists.""The new paranormal artistic exhibitions begin: with an extension of classical exhibitions of paintings, drawings, sculptures by video, environment, computers, performances and installations. The Para Norm documents include a wide range of documentary documents, including the 1987-1989 period, containing video contributions from the fields of visual arts, performance, Fluxus, music, literature and other fields of the scene. The works of Berlinian artists are an important part of the total stock, but foreign and international artists are also represented. The contributions were mainly taken on important cultural sites in West Berlin. The artists are mainly started in the performance of their work. The viewer is therefore able to offer a wide range of expressions. Para Normist documents are a kind of audio-visual museum, open to each audience.",[0],"[4, 5, 6]"
marcablanca,"Marcablanca is an independent space for resistance, reflection and production editorial in the center of Madrid. a community library and a workshop dedicated to artistic research. you can leave a message, we will try to respond as soon as possible.Marcablanca is an independent space for resistance, reflection and editorial production in central Madrid. it houses a community library and experimenting work for artistic research. feel free to drop or two, we will answer you as a possible. Marcablánca is ein Verlagwesen im Zentrum von Madrid.",[4],"[4, 6]"
All Stars,All Stars is an artist-run space founded in 2020. The space is dedicated to organizing exhibitions and contemporary art events as well as promoting Swiss and international artists.,[1],[5]
rum46,"Rum46 was founded in 1995 and is now run by a group of volunteers. With our different courses and trainings of the Academy of Arts of Jutland, the Academy of Arts in Amsterdam, the history of art, the University of Aarhus. In recent years, in Rum46, we have worked mainly on long-term projects based on public space. It is often composed of interdisciplinary and interesting projects combining art with social and political issues. These exhibitions are expressions of the understanding of art and theesthetics of the Aarhus University. In recent years, we have been working on thematic projects based on the subject of public space. It is often the subject of interdisciplinary and educational projects that combines art with topics and subjects.",[0],"[0, 1]"
Mercato del Sale,"In April 1974, Ugo Carrega opened the new gallery of ""Mercato del Sale"", (Marche du Sel), whose activity is devoted to the concept of new Scriptures. The name is an honour to Marcel Duchamp, named Markhand du Sel by Robert Desnos in 1921, as revealed by Ugo Carrega himself in the wrong book written in 1988 with Vincenzo Ferrari. The gallery, first located via Borgonuovo 20, was moved from 1980, via Orti 16 and hosted to more than two cents of events. The exhibitions of the Italian Collection of New Scriptures (1977) and the SCRITTRA ACTIVA are particularly important. The works of writing in the second century, however, are described in the 17th century as being in the 17th century C. The artist Ugo Carrega (Visual poetry) began several art spaces in Milan: Centro Suolo (1969-1970), Centro Tool (1971-1973) and Mercato del Sale (1974-1989). Milan is an artistic career in visual poetry.",[4],"[2, 3, 4, 6]"
A.Polina,"A. Polina La Ciotat, contemporary creation space, pictured by artist Sarah Cassenti, led by SC, Olivia Rivet, children and artists, surrounded by plants. Round to the Children's Free Atelier, Gallery Lycienne and Cabaret Novela.","[2, 4]",[3]
Lateral ArtSpace,"Lateral ArtSpace was initiated in April 2012 in Cluj-Napoca, Romania, as an experimental platform for young and emerging artists, emphasizing on the dialogue between local and international artists. Lateral ArtSpace assists and promotes the development of solo exhibitions, group projects, along with a program of events that includes performance, video screenings, public gatherings, books/magazine launches, artist talks. The exhibition program is continuously diversifying while constructing a network of young artists from different countries. The core of Lateral ArtSpace consists of three Romanian artists: Dragoș Bădiță, Cristina Curcan and Lucian Indrei, who got together during their studies at the Art and Design University of Cluj Napoca, Romania. Lateral ArtSpace was located at the Paintbrush Factory in Cluj-Napoca, Romania.",[4],"[1, 2, 5]"
